#H (A/m), B (T)
0.000000000000000000e+00,0.000000000000000000e+00
5.714285714285714448e+02,5.662653949951610421e-01
1.142857142857142890e+03,8.702013472365172086e-01
1.714285714285714221e+03,1.059968966221962683e+00
2.285714285714285779e+03,1.189833291019215755e+00
2.857142857142857338e+03,1.284372699135923668e+00
3.428571428571428442e+03,1.356337249786850219e+00
4.000000000000000000e+03,1.413000000000000034e+00
8.010000000000000000e+03,1.594000000000000083e+00
1.601000000000000000e+04,1.750999999999999890e+00
2.402000000000000000e+04,1.838999999999999968e+00
3.203000000000000000e+04,1.895999999999999908e+00
4.003000000000000000e+04,1.935999999999999943e+00
4.804000000000000000e+04,1.967000000000000082e+00
6.405000000000000000e+04,2.008000000000000007e+00
8.007000000000000000e+04,2.041999999999999815e+00
9.608000000000000000e+04,2.072999999999999954e+00
1.121000000000000000e+05,2.100999999999999979e+00
1.281100000000000000e+05,2.126999999999999780e+00
1.441200000000000000e+05,2.150999999999999801e+00
1.761500000000000000e+05,2.197000000000000064e+00
2.081800000000000000e+05,2.240000000000000213e+00
2.402000000000000000e+05,2.281000000000000139e+00
2.722300000000000000e+05,2.321000000000000174e+00
3.042600000000000000e+05,2.361000000000000210e+00
3.362900000000000000e+05,2.399999999999999911e+00
3.963400000000000000e+05,2.471999999999999975e+00
