# Data extracted from Fig. (2) of J.R. Montejo-Garai and J. Zapata, IEEE T-MTT, 43, 1290 (1995)
# Frequency [GHz], |S21| [dB]
10.19444075451647,     -27.455357142857135
10.404766648955011,    -3.5267857142857064
10.592012043924901,    -23.928571428571423
10.79519792773645,     -27.187499999999996
10.997830322352108,    -26.60714285714285
11.209705986539142,    -22.85714285714285
11.408463956783564,    -12.54464285714285
11.513737601842012,    -0.4910714285714204
11.600303312079348,    -12.09821428571428
11.815223166843783,    -18.749999999999993
12.010770899752035,    -19.598214285714278
12.209805614594403,    -17.633928571428562
12.41847104144527,     -12.187499999999993
12.622376461211477,    -0.9374999999999925
12.818200938717677,    -6.9196428571428505
13.021829613885936,    -9.821428571428566
13.224462008501593,    -9.241071428571422
13.429972546935883,    -6.339285714285708
13.63692215727949,     -2.2767857142857064
13.841381066241587,    -0.2232142857142776
14.038367871059156,     0.0
14.240170031880979,     7.993605777301127e-15
14.440865214311016,    -0.9821428571428492
14.631265497697484,    -5.9821428571428505
14.819285777541623,    -12.901785714285708
15.007084661707403,    -19.999999999999993
